B_Ion,A_Ion,C_Ion,AntiSolvent,Cell_Area,Solv_Anneal,HTL,Bandgap,Solvents,Backcontact,ETL,Synth_Atm,Dep_Procedure,Is_Module,Anneal_Temp,PCE,Voc,Jsc,FF
Pb,MA,I,0,0.07,0,Spiro-MeOTAD,1.6,DMF >> IPA,Ag,ZnO-nw | ZnO-c,Unknown,Spin-coating >> CBD,0,,7.19,0.95,16.6,0.455
Pb; Sr,MA,I,0,0.09,0,Spiro-MeOTAD,,DMSO; acetonitrile >> IPA,Au,TiO2-c | TiO2-mp,Unknown,Spin-coating >> Spin-coating,0,,,,,
Pb,MA,I,0,0.03,0,PEDOT:PSS,1.6,DMF,Al,PCBM-60,Ar,Spin-coating,0,,13.22,0.834,21.6,0.735
Pb,MA,I,1,0.1,0,Spiro-MeOTAD,1.59,DMF; DMSO; GBL,Au,SnO2-c,Air,Spin-coating,0,,13.9,,,
Pb,Cs; FA; MA,Br; I,1,0.1,0,PCBM-60 | bis-C60,,DMF; DMSO,Ag,NiO-c,Unknown,Spin-coating,0,95,16.4,1.07,21.3,0.726
Pb,MA,I,0,0.1,0,PEDOT:PSS,1.55,GBL,Ag,PCBM-60,Air,Spin-coating,0,80,12.49,0.94,19.48,0.68
Pb,Cs; FA; MA,Br; I,1,0.09,0,Spiro-MeOTAD,1.63,DMF; DMSO,Au,TiO2-c | TiO2-mp | MXene,N2,Spin-coating,0,100,20.14,1.09,23.82,0.776
Pb,Cs; FA; MA,Br; I,1,0.1,0,Spiro-MeOTAD,,DMF; DMSO,Au,TiO2-c | TiO2-mp,Unknown,Spin-coating,0,100,19.15,1.13,22.56,0.75
Pb,Cs; FA; MA,Br; I,1,0.1,0,Spiro-MeOTAD,,DMF; DMSO,Au,TiO2-c,Unknown,Spin-coating,0,100,18.57,1.1,22.68,0.73
Pb,Cs; FA; MA,Br; I,1,,0,spiro-OMeTAD:Sb2S3,1.55,DMF; DMSO,Au,SnO2-KCl,N2,Spin-coating,0,,22.13,1.132,24.75,0.79
Pb,MA,I,0,0.12,0,Spiro-MeOTAD,1.6,DMF,Ag,TiO2-c,N2,Spin-coating,0,100,9.85,0.91,20.12,0.538
Pb,MA,I,0,,0,Unknown,1.598,Unknown,Carbon,SnO2-c,Unknown,Unknown,0,,12.49,,,
Pb,MA,I,0,0.056,0,Spiro-MeOTAD,1.6,acetonitrile; Methylamine,Au,TiO2-c,Inert,Spin-coating,0,100,16.3,1.05,21.2,0.73
Pb,MA,I,0,0.09,0,PEDOT:PSS,1.5,DMF,Al,PCBM-60,N2,Spin-coating,0,100,10.61,0.82,19.14,0.674
Pb,MA,I,0,0.09,0,Spiro-MeOTAD,1.6,DMF; DMSO >> IPA,Au,TiO2-c | TiO2-mp,Unknown,Spin-coating >> Spin-coating,0,,16.74,1.015,22.98,0.718
Pb,MA,I,1,0.09,0,PEDOT:PSS,1.6,DMF; DMSO,Ag,PCBM-60 | Alq3,N2,Spin-coating,0,,0.71,0.95,5.39,0.14
Pb,MA,I,0,,0,P3HT,,Unknown,Au,TiO2-np,N2,Spin-coating,0,,11.26,0.78,19.36,0.68
Pb,FA; MA,Br; I,0,0.09,0,Spiro-MeOTAD,,DMF >> IPA,Au,SnO2-c,Unknown,Spin-coating >> CBD,0,,11.1,0.96,21.3,0.544
